year,month,long,neutral,strategy,rf,mkt_rf,cumul_strategy,cumul_market,cum_return,running_max,drawdown
2021,5,0.021957061294,0.0028358451409736304,0.021957061294,0.0,0.005487,1.2702793183725267,1.3012678917838687,1.2702793183725267,1.2702793183725267,0.0
2021,6,-0.0013522278479999998,0.014327835212729125,-0.0013522278479999998,0.0,0.022214,1.2685616113034848,1.3301742567319554,1.2685616113034848,1.2702793183725267,0.0013522278480001537
2021,7,-0.0035249368260000013,-0.005295100257057057,-0.0035249368260000013,0.0,0.022748,1.2640900117637512,1.360433060724094,1.2640900117637512,1.2702793183725267,0.004872398156261504
2021,8,0.011159449526,0.0197723938319647,0.011159449526,0.0,0.02899,1.2781965604463494,1.3998720151544854,1.2781965604463494,1.2781965604463494,0.0
2021,9,-0.034753381358,-0.03511982656745796,-0.034753381358,0.0,-0.047569,1.2337749079306737,1.3332815032656018,1.2337749079306737,1.2781965604463494,0.03475338135799988
2021,10,0.04050022384,0.05220963362305419,0.04050022384,0.0,0.069144,1.2837430678700414,1.4254699195273988,1.2837430678700414,1.2837430678700414,0.0
2021,11,-0.015916183922,-0.038786837270772236,-0.015916183922,0.0,-0.008334,1.2633107770932293,1.4135900532180574,1.2633107770932293,1.2837430678700414,0.015916183922000116
2021,12,0.068687242558,0.03623062578731707,0.068687242558,0.0001,0.043613,1.3500841108655675,1.4752409562090565,1.3500841108655675,1.3500841108655675,0.0
2022,1,-0.0394449248,-0.07230771574576922,-0.0394449248,0.0,-0.052585,1.2968301446388004,1.3976654105268032,1.2968301446388004,1.3500841108655675,0.03944492479999995
2022,2,-0.000177525439999999,0.001942469681619047,-0.000177525439999999,0.0,-0.031361,1.296599924296768,1.353833225587272,1.296599924296768,1.3500841108655675,0.03961544776236903
2022,3,0.005419119304,0.017101790777979027,0.005419119304,0.0001,0.035773,1.3036263539760897,1.4022639015662055,1.3036263539760897,1.3500841108655675,0.03441100929607466
2022,4,-0.0175547542,-0.08626761135391221,-0.0175547542,0.0001,-0.087957,1.2807415137633973,1.278924975576147,1.2807415137633973,1.3500841108655675,0.05136168668610819
2022,5,0.01941502546,0.001987600439241706,0.01941502546,0.0003,5.3e-05,1.3056071428607927,1.2789927585998526,1.3056071428607927,1.3500841108655675,0.03294384968078734
2022,6,-0.061825193384,-0.09376282839432482,-0.061825193384,0.0006,-0.08392,1.2248877287698925,1.171659686298153,1.2248877287698925,1.3500841108655675,0.0927322831874593
2022,7,0.08318932106,0.09817041481531955,0.08318932106,0.0008,0.091116,1.3267853073009854,1.2784166302748954,1.3267853073009854,1.3500841108655675,0.017257297806167582
2022,8,-0.024196806969999998,-0.02868560472865275,-0.024196806969999998,0.0019,-0.04244,1.2946813393295913,1.2241606284860287,1.2946813393295913,1.3500841108655675,0.041036533272327924
2022,9,-0.07655409488,-0.09606859687926485,-0.07655409488,0.0019,-0.093396,1.1955681812391883,1.1098289224279476,1.1955681812391883,1.3500841108655675,0.1144491134906519
2022,10,0.10852848288,0.09010848490301886,0.10852848288,0.0023,0.079863,1.3253213821286782,1.1984631896598108,1.3253213821286782,1.3500841108655675,0.018341619264753306
2022,11,0.064157808616,0.04897832962998084,0.064157808616,0.0029,0.053753,1.4103510977179825,1.2628841814935945,1.4103510977179825,1.4103510977179825,0.0
2022,12,-0.04216842613,-0.061035947004789835,-0.04216842613,0.0033,-0.058971,1.3508788116364974,1.1884106384267357,1.3508788116364974,1.4103510977179825,0.042168426129999936
2023,1,0.09599804199199999,0.08274919108716683,0.09599804199199999,0.0035,0.061753,1.4805605325220808,1.2617985605815019,1.4805605325220808,1.4805605325220808,0.0
2023,2,-0.018091781300000002,-0.026650957868850807,-0.018091781300000002,0.0034,-0.026112,1.4537745551662797,1.2288504765675976,1.4537745551662797,1.4805605325220808,0.0180917813
2023,3,-0.029188028102,-0.019615596126680245,-0.029188028102,0.0036,0.035052,1.4113417425961137,1.271924143472245,1.4113417425961137,1.4805605325220808,0.0467517459810004
2023,4,-0.012072665041999999,-0.010606448259567901,-0.012072665041999999,0.0035,0.014642,1.3943030864779582,1.2905476567809657,1.3943030864779582,1.4805605325220808,0.05825999285364314
2023,5,0.0052247850960000005,-0.025880934162233502,0.0052247850960000005,0.0036,0.002482,1.4015880204634952,1.2937507960650962,1.4015880204634952,1.4805605325220808,0.053339603699997906
2023,6,0.08551421808800001,0.07928237066556539,0.08551421808800001,0.004,0.064728,1.5214437241149388,1.3774926975927977,1.5214437241149388,1.5214437241149388,0.0
2023,7,0.032364874689999996,0.03938110524279919,0.032364874689999996,0.0045,0.031139,1.5706850595938058,1.4203864427031399,1.5706850595938058,1.5706850595938058,0.0
2023,8,-0.05070859620399999,-0.0392235816838311,-0.05070859620399999,0.0045,-0.017716,1.4910378251432077,1.3952228764842112,1.4910378251432077,1.5706850595938058,0.050708596204000034
2023,9,-0.06750477032800001,-0.056390485247156154,-0.06750477032800001,0.0043,-0.048719,1.3903856592065547,1.327249013164777,1.3903856592065547,1.5706850595938058,0.11479029439159383
2023,10,-0.07659580596599999,-0.05565858772112971,-0.07659580596599999,0.0047,-0.02198,1.2838879490360604,1.2980760798554152,1.2838879490360604,1.5706850595938058,0.18259364524159527
2023,11,0.157952945224,0.08784573526899063,0.157952945224,0.0044,0.089179,1.486681831923907,1.413837206580841,1.486681831923907,1.5706850595938058,0.05348190406269149
2023,12,0.096827046036,0.0828043352429325,0.096827046036,0.0043,0.044229,1.6306328421044878,1.4763698123907052,1.6306328421044878,1.6306328421044878,0.0
